职位名称,公司ID,公司名称,公司规模,职位领域,工作经验,工作地点,工资水平,学历,工作性质,公司标签,职位优势
Java开发工程师,140014,平安人寿,2000人以上,金融,3-5年,上海,11k-19k,本科,全职,"['绩效奖金', '带薪年假', '定期体检', '节日礼物']",平安人寿保险项目
高级java开发工程师,2474,滴滴,2000人以上,汽车丨出行,3-5年,北京,25k-30k,本科,全职,"['弹性工作', '节日礼物', '岗位晋升', '技能培训']",六险一金，下午茶，零食
java开发工程师,33669,bit-service,50-150人,移动互联网,1-3年,南京,8k-15k,本科,全职,"['技能培训', '带薪年假', '绩效奖金', '年度旅游']",五险一金
高级java开发工程师,286971,鑫方盛控股集团,2000人以上,"电商,移动互联网",5-10年,北京,19k-28k,本科,全职,[],双休 包三餐
高级java开发工程师,122296,驰骛科技ChiefClouds,50-150人,"数据服务,移动互联网",5-10年,上海,20k-30k,本科,全职,[],技术大牛 福利好 弹性工作 扁平化管理
Java开发工程师,82781211,千城万家,150-500人,房产家居、其他,10年以上,成都,20k-40k,大专,全职,[],早9晚6，市中心工作
Java开发工程师,500308,Flash express,150-500人,企业服务,在校/应届,北京,8k-13k,本科,全职,"['股票期权', '弹性工作', '节日礼物', '五险一金']",大咖带教、上升空间大
java开发工程师,33646,久远银海,2000人以上,"移动互联网,硬件",不限,成都,6k-10k,本科,全职,"['节日礼物', '专项奖金', '带薪年假', '岗位晋升']",五险一金，年终奖，团队氛围好，14天春节假期
Java开发工程师,122206743,美兰,50-150人,其他,3-5年,南京,13k-26k,大专,全职,[],待遇高
高级java开发工程师,119034232,锐鲨科技,50-150人,"电商,企业服务",3-5年,杭州,18k-25k,本科,全职,[],五险一金 餐补 MAC 公司年轻
java开发工程师,541404,林茂装饰,50-150人,"电商,其他",3-5年,无锡,15k-30k,本科,全职,[],五险一金
java高级开发工程师,66079,美联集团,2000人以上,其他,5-10年,深圳,15k-25k,大专,全职,"['技能培训', '节日礼物', '带薪年假', '岗位晋升']",周末双休 五险一金
Java开发工程师,27215,神州信息,2000人以上,金融,3-5年,上海,12k-15k,本科,全职,"['绩效奖金', '五险一金', '带薪年假', '午餐补助']",银行业最前沿的微服务架构项目
java高级开发工程师,465363,领端科技,15-50人,"移动互联网,企业服务",3-5年,东莞,10k-15k,不限,全职,[],急招，行业经验者优先
